_id,name_en,name_ru,name_uk
10201,Svet-Imatra,Светогорск-Иматра,Светогорск-Иматра
20211,Zaolsha-Rudnia,Рудня-Заольша Граница,Рудня-Заольша Граница
20212,Alesca-Kliastica,Клястица-Алеща Граница,Клястица-Алеща Граница
20213,Zakopyte-Zlynka,Закопыть-Злынка Гран.,Закопыть-Злынка Гран.
20214,Shest-Osva,Шестеровка-Осва Гран.,Шестеровка-Осва Гран.
20215,Suraj-Jurb,Сураж-Журбин Граница,Сураж-Журбин Граница
20220,Shech-Neonil,Шечково-Неониловка Гр,Шечково-Неониловка Гр
20221,Zernovo Gr,Зерново Граница,Зернове Кордон
20222,Kazachia Lopan-Krasnyi Hutor,Кр.хутор-Каз.лопань Гр,Кр.хутор-Каз.лопань Гр
20223,Vovchansk-Nezhehol Kord,Волчанск-Нежеголь Гран,Вовчанськ-Нежеголь Корд
20224,Lokot-Klevan Kordon,Локоть-Клевань Граница,Локоть-Клевань Кордон
20225,Izvaryne-Zamchalovo Kor.,Изварино-Замчалово Гр.,Ізварине-Замчалово Кор.
20226,Klim-Semen,Климов-Семеновка Гран.,Климов-Семеновка Гран.
20227,Chyhynok-Vytemlya Hranyts,Чигинок-Витемля Границ,Чигинок-Витемля Границ
20228,Odnorobovka-Hotmyjsk,Одноробовка-Хотмыжск Г,Одноробовка-Хотмыжск Г
20229,Topoli-Solovei,Тополи-Соловей Граница,Тополи-Соловей Граница
20241,Pagegiai-Sovetsk,Советск-Пагегяй Границ,Советск-Пагегяй Границ
20242,Kibartai-Nestorov,Нестеров-Кибартай Гран,Нестеров-Кибартай Гран
20251,Zilupe-Posin,Посинь-Зилупе Граница,Посинь-Зилупе Граница
20252,Vecum-Purv,Вецуми-Пурвмала Границ,Вецуми-Пурвмала Границ
20261,Narva-Ivangorod,Ивангород-Нарва Границ,Ивангород-Нарва Границ
20262,Orava-Pechory Pskovskie,Печоры Псков.-Орава,Печоры Псков.-Орава
20263,Piuza/pechor,Печоры Псков-Пиуза Гр.,Печоры Псков-Пиуза Гр.
20271,Semigl Mar-Ozinki,Семигл.мар-Озинки,Семигл.мар-Озинки
20272,Axariaskaia-Diny Nur,Аксарайская 2-Дины Нур,Аксарайская 2-Дины Нур
20275,Orsk-N Gorod-Kirgilda,Орск-Н Город-Киргильда,Орск-Н Город-Киргильда
20276,Kartaly-Axu,Карталы-Аксу,Карталы-Аксу
20278,Zauralie-Zernovaia,Зауралье-Зерновая,Зауралье-Зерновая
20571,Samur-Ialam,Самур-Ялама Гр,Самур-Ялама Гр
21201,Shuhovcy-Krasnoe,Шуховцы-Красное Гран.,Шуховцы-Красное Гран.
21202,Ezerisce-Zavereje,Езерище-Завережье Гран,Езерище-Завережье Гран
21221,Goryn Gr,Горынь Граница,Горинь Кордон
21222,Zabolote Gr,Заболоття Граница,Заболоття Кордон
21223,Khorobychi Kordon,Хоробичи Граница,Хоробичі Кордон
21224,Teriuha Gr,Терюха Граница,Терюха Кордон
21225,Slovechno Gr,Словечно Граница,Словечно Кордон
22001,Gudovo-Kru,Гудово-Крупец Граница,Гудово-Крупец Граница
22200,Neonil-Gud,Неониловка-Гудово Гран,Неониловка-Гудово Гран
22202,Tetkin-Shech,Теткино-Шечково Границ,Теткино-Шечково Границ
22203,Volfino-Glushkovo,Глушково-Волфино Гран.,Глушково-Волфино Гран.
22204,Hrakivka-Shalayevo Kord.,Граковка-Шалаево Гран.,Граківка-Шалаєво Корд.
22205,Pushkarne-Ilek Penkov,Пушкарное-Илек Пеньков,Пушкарне-Ілек Пеньков
22206,Kvashino Gr,Квашино Граница,Квашино Кордон
22208,Krasn.mohyla-Zapovidn.,Красн.могила-Заповедн.,Красн.могила-Заповідн.
22209,Olkhova-Chebotovka Kor.,Ольховая-Чеботовка Гр.,Ольхова-Чеботовка Кор.
22231,Kuchurgan Gr,Кучурган Граница,Кучурган Кордон
22232,Kriva Gr,Крива Граница,Крива Кордон
22234,,Волчинец Граница,Волчинец Кордон
22237,Berezyne-Basarabyaska,Березино-Басарабяска,Березине-Басарабяська
22238,Larha-Vartykivtsi,Ларга-Вартиковцы,Ларга-Вартиківці
22239,Sokyryany-Oknytsya,Сокиряны-Окница,Сокиряни-Окниця
23221,,Чимишлия-Карабуцены,Чимишлия-Карабуцены
23222,,Карабуцены-Басарабяска,Карабуцены-Басарабяска
23223,,Тараклия-Болград,Тараклия-Болград
23224,,Болград-Гречены,Болград-Гречены
23225,,Этулия-Фрикацей,Этулия-Фрикацей
23226,,Липкань Гр,Липкань Гр
23227,,Медвежа Гр,Медвежа Гр
24212,Shalchininkai-Beniakone,Шальчин-Беняконе Гран,Шальчин-Беняконе Гран
24213,Shumskas-Gudogai,Шумскас-Гудогай Границ,Шумскас-Гудогай Границ
24214,Gialiad-Lynt,Гялядне-Лынтупы Гр.,Гялядне-Лынтупы Гр.
24215,Sianove-Lihachi,Лихачи-Сянове Граница.,Лихачи-Сянове Граница.
24252,Meitene-Sharkiai,Мейтене-Шаркяй Граница,Мейтене-Шаркяй Граница
24253,Shapia/eglai,Эглайне-Шапеляй Границ,Эглайне-Шапеляй Границ
24255,Kalet-Skuo,Калети-Скуодас Граница,Калети-Скуодас Граница
24256,Vaine-Lushe,Вайнеде-Луше Граница,Вайнеде-Луше Граница
24257,Reng-Maje,Реньге-Мажейкяй Границ,Реньге-Мажейкяй Границ
25202,Karsava-Skangali,Скангалы-Карсава Гран.,Скангалы-Карсава Гран.
25211,Indra-Bigosovo,Индра-Бигосово Граница,Индра-Бигосово Граница
25242,Kurcums-Turmantas,Курцумс-Турмантас Гран,Курцумс-Турмантас Гран
25261,Valga-Lugaji,Лугажи-Валга Граница,Лугажи-Валга Граница
25262,Myiz/ruien,Руиена-Мыйзакюла Гран,Руиена-Мыйзакюла Гран
27201,Kulunda-Kurk,Кулунда-Куркамыс,Кулунда-Куркамыс
27291,Oazis Gr.,Оазис Гр.,Оазис Гр.
27292,Sary Agach-Keles,Сары-Агачкелес,Сары Агач-Келес
27293,Pacht-Syrd,Пахтаарал-Сырдарьинская,Пахтаарал-Сырдарьинская
27591,Pl15Km-Lugovaia,Луговая-Пл.15 Км Гр,Луговая-Пл.15 Км Гр
28571,Gard-Beiuk,Гардабани-Беюк Кясик Г,Гардабани-Беюк Кясик Г
28581,Sadah-Airu,Садахло-Айрум Граница,Садахло-Айрум Граница
29591,Savai-Kara,Савай-Карасу Гр,Савай-Карасу Гр
29592,Karasu-Sul,Карасу-Султ Гр,Карасу-Султ Гр
29593,Uchkurg-Sham,Учкург-Шамалд Гр,Учкург-Шамалд Гр
29661,Kanib-Suvo,Канибадам-Сувонобод,Канибадам-Сувонобод
29662,Amuz-Aivad,Амузанг-Айвадж,Амузанг-Айвадж
29663,Sar-Pahta,Сарыасия-Пахтаабад,Сарыасия-Пахтаабад
29664,Nau-Bekab,Нау-Бекабад,Нау-Бекабад
29671,Farap-Hodj,Фарап-Ходжадавлет Гр,Фарап-Ходжадавлет Гр
29672,Talim-153,Талимарджан-Рзд 153 Км,Талимарджан-Рзд 153 Км
29673,Tahi-Naim,Тахиаташ-Найманкуль Гр,Тахиаташ-Найманкуль Гр
29674,Boldyr-161,Болдыр-Рзд 161 Км Гр,Болдыр-Рзд 161 Км Гр
29675,Gazodj-Pit,Газоджак-Питняк Гр,Газоджак-Питняк Гр
29676,Dasho-Shavat,Дашогуз-Шават Гр,Дашогуз-Шават Гр
29677,Miskin-Gazadjak,Мискин-Газаджак,Мискин-Газаджак
57581,Erash-Sharu,Ерасх-Шарур Гр,Ерасх-Шарур Гр
57582,Idjev-Barh,Иджеван-Бархударлы Гр,Иджеван-Бархударлы Гр
2000001,Moskva Kurskaia,Москва Курская,Москва Курська
2000002,Moskva Iaroslavskaia,Москва Ярославская,Москва Ярославская
2000003,Moskva Kazanskaia,Москва Казанская,Москва Казанская
2000004,Miitovskaia,Миитовская,Миитовская
2000005,Moskva Paveleckaia,Москва Павелецкая,Москва Павелецкая
2000006,Moskva Belorusskaia,Москва Белорусская,Москва Белорусская
2000007,Moskva Kievskaia,Москва Киевская,Москва Київська
2000008,Moskva Rijskaia,Москва Рижская,Москва Рижская
2000009,Moskva Savelovskaia,Москва Савеловская,Москва Савеловская
2000011,Elektrogorsk,Электрогорск,Электрогорск
2000012,Valentinov,Валентиновка,Валентиновка
2000013,Trudovaia,Трудовая,Трудовая
2000015,Mytisci,Мытищи,Мытищи
2000016,Ciolkovsk,Циолковская,Циолковская
2000017,Bordavichi,Бордавичи,Бордавичи
2000018,Usad,Усад,Усад
2000019,Aleksandrov 2,Александров 2,Александров 2
2000020,Taldom Sav,Талдом-Савеловский,Талдом-Савеловский
2000021,Karabanovo,Карабаново,Карабаново
2000022,Belkovo,Бельково,Бельково
2000024,Hodynino,Ходынино,Ходынино
2000025,Podlipki D,Подлипки Дачн,Подлипки Дачн
2000026,Dmitrov,Дмитров,Дмитров
2000027,Verbilki,Вербилки,Вербилки
2000028,Jilevo,Жилево,Жилево
2000029,Blagovescen,Благовещенское,Благовещенское
2000030,Volokolam,Волоколамск,Волоколамск
2000031,Buholovo,Бухолово,Бухолово
2000032,Ilin Pog,Ильинский Погост,Ильинский Погост
2000033,Kabanovo,Кабаново,Кабаново
2000034,Krasn.prof,Красный Профинтер,Красный Профинтер
2000035,Pushkino,Пушкино,Пушкино
2000036,Tolstop,Толстопальцево,Толстопальцево
2000037,Bitca,Битца,Битца
2000038,Cherusti,Черусти,Черусти
2000039,Voskresensk,Воскресенск,Воскресенск
2000040,Shahovskaia,Шаховская,Шаховская
2000041,Peski,Пески,Пески
2000042,Podlipki,Подлипки,Подлипки
2000043,Fruktovaia,Фруктовая,Фруктовая
2000044,Alpatevo,Алпатьево,Алпатьево
2000045,Tekstilsc,Текстильщики,Текстильщики
2000046,Divovo,Дивово,Дивово
2000047,Diagilevo,Дягилево,Дягилево
2000048,Stenkino,Стенькино 1,Стенькино 1
2000049,Denejnikov,Денежниково,Денежниково
2000050,Golutvin,Голутвин,Голутвин
2000051,Shevcovo,Шевцово,Шевцово
2000052,Starojilov,Старожилово,Старожилово
2000053,Birkino,Биркино,Биркино
2000054,Podvislovo,Подвислово,Подвислово
2000055,Odincovo,Одинцово,Одинцово
2000056,Riajsk 1,Ряжск 1,Ряжск 1
2000057,Lesok,Лесок,Лесок
2000058,Semhoz,Семхоз,Семхоз
2000059,Listvianka,Листвянка,Листвянка
2000060,Luhovicy,Луховицы,Луховицы
2000061,Tysia,Тысья,Тысья
2000062,Perevles,Перевлес,Перевлес
2000063,Pronia,Проня,Проня
2000064,Sheluhovo,Шелухово,Шелухово
2000066,Tyrnica,Тырница,Тырница
2000067,Ushinskii,Ушинский,Ушинский
2000068,Kasimov,Касимов,Касимов
2000069,Nazarovka,Назаровка,Назаровка
2000070,Rybnoe,Рыбное,Рыбное
